Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Muk (Alolan),80,89,poison,dark,117.3,111.3,146,1906470,20.5,Snarl,Dark Pulse,Sludge Wave,4,5,3,50000
Raichu,80,26,electric,none,133.6,110.6,113,1669771,25.5,Volt Switch,Wild Charge,Thunder Punch,3,3,1,10000
Gallade,79.9,475,psychic,fighting,137.2,114.5,104,1633015,18,Confusion,Close Combat,Leaf Blade,4,3,5,75000
Raticate (Alolan) (Shadow),79.9,20,dark,normal,107.5,130.7,148,2078413,37,Quick Attack,Crunch,Hyper Beam,6,10,1,10000
Poliwrath,79.8,62,water,fighting,116.5,119.7,138,1924689,22,Mud Shot,Dynamic Punch,Ice Punch,6,5,3,50000
Quilladin,79.8,651,grass,none,115.4,130,129,1935329,35.5,Vine Whip,Body Slam,Energy Ball,5,7,3,10000
Seaking,79.8,119,water,none,123.1,105.9,140,1825075,26.5,Poison Jab,Drill Run,Icy Wind,7,7,3,50000
Wormadam (Trash),79.8,413,bug,steel,105.2,150.9,134,2126928,42.5,Confusion,Bug Buzz,Iron Head,5,5,1,10000
Forretress (Shadow),79.7,205,bug,steel,110.2,141.6,130,2028758,25,Bug Bite,Earthquake,Mirror Shot,22,12,5,75000
Piloswine (Shadow),79.7,221,ice,ground,121.1,98.2,155,1842165,24,Powder Snow,Avalanche,Bulldoze,6,8,3,50000
Heracross,79.6,214,bug,fighting,134.7,107.9,114,1655921,17.5,Counter,Close Combat,Rock Blast,7,6,3,50000
Hypno (Shadow),79.6,97,psychic,none,103.7,140.8,148,2160673,27.5,Confusion,Thunder Punch,Fire Punch,4,4,3,50000
Lileep,79.6,345,rock,grass,100.8,138.6,151,2111110,50,Bullet Seed,Grass Knot,Ancient Power,4,4,3,50000
Lugia,79.6,249,psychic,flying,102.4,165,129,2181164,15,Dragon Tail,Sky Attack,Aeroblast,5,9,20,100000
Spinda,79.6,327,normal,none,110.1,110.1,142,1720678,50,Psycho Cut,Icy Wind,Rock Tomb,5,7,3,50000
Weezing (Galarian),79.6,110,poison,fairy,118.4,138.9,115,1889997,24.5,Fairy Wind,Overheat,Play Rough,7,7,3,50000
Honchkrow,79.5,430,dark,flying,150.6,68.3,145,1492462,20.5,Snarl,Brave Bird,Sky Attack,5,4,3,50000
Melmetal,79.5,809,steel,none,121.5,107.8,141,1846977,15.5,Thunder Shock,Superpower,Rock Slide,5,5,20,100000
Salazzle,79.5,758,poison,fire,146.6,90.9,114,1518532,22,Incinerate,Poison Fang,Dragon Pulse,2,3,3,50000
Ariados,79.4,168,bug,poison,124.7,102,141,1793573,34,Poison Sting,Cross Poison,Megahorn,4,7,1,10000
Articuno (Shadow),79.4,144,ice,flying,113.2,143.6,122,1983584,18.5,Ice Shard,Icy Wind,Ancient Power,5,5,20,100000
Fraxure,79.4,611,dragon,none,145.5,89.3,119,1545235,24.5,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Gloom (Shadow),79.4,44,grass,poison,122.6,114.9,130,1830873,37.5,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Lycanroc (Midnight),79.4,745,rock,none,134.3,101,123,1668138,20.5,Counter,Stone Edge,Psychic Fangs,8,5,5,50000
Tangrowth (Shadow),79.4,465,grass,none,121.8,112,135,1842421,18.5,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Florges,79.3,671,fairy,none,120.1,142.1,109,1859855,17,Fairy Wind,Disarming Voice,Psychic,5,7,3,50000
Hariyama (Shadow),79.3,297,fighting,none,125.6,75.5,186,1764581,19.5,Counter,Close Combat,Heavy Slam,7,8,3,50000
Muk (Shadow),79.3,89,poison,none,117.3,111.3,146,1906470,20.5,Poison Jab,Dark Pulse,Thunder Punch,8,6,3,50000
Pinsir,79.3,127,bug,none,141.3,111.5,101,1591266,18.5,Fury Cutter,Close Combat,X-Scissor,12,9,5,75000
Probopass (Shadow),79.3,476,rock,steel,96.8,200,119,2305422,28,Spark,Rock Slide,Thunderbolt,6,7,3,50000
Bronzong,79.2,437,steel,psychic,111.3,151.8,119,2010401,25.5,Confusion,Psyshock,Payback,4,5,3,50000
Grimer,79.2,88,poison,none,121.5,88,171,1827419,49.5,Poison Jab,Mud Bomb,Sludge Bomb,6,8,3,50000
Grovyle,79.2,253,grass,none,137.4,101.7,117,1633904,37.5,Quick Attack,Leaf Blade,Aerial Ace,5,6,3,10000
Hydreigon,79.2,635,dark,dragon,136.6,103.5,116,1639587,15,Dragon Breath,Brutal Swing,Flash Cannon,14,24,5,75000
Wailmer,79.2,320,water,none,117.4,68.3,239,1916533,48.5,Water Gun,Body Slam,Heavy Slam,12,17,1,10000
Wailmer (Shadow),79.2,320,water,none,117.4,68.3,239,1916533,48.5,Water Gun,Body Slam,Heavy Slam,12,17,1,10000
Barbaracle,79.1,689,rock,water,120.4,133.1,115,1841752,20.5,Fury Cutter,Stone Edge,Cross Chop,14,9,3,50000
Crobat (Shadow),79.1,169,poison,flying,121.8,115.7,130,1832248,21,Air Slash,Poison Fang,Shadow Ball,4,7,1,10000
Ivysaur,79.1,2,grass,poison,118.6,121.7,130,1876886,36.5,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Latios (Shadow),79.1,381,dragon,psychic,138.4,112.9,103,1609480,14.5,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Swoobat,79.1,528,psychic,flying,126.9,100.9,138,1767259,35.5,Confusion,Psychic Fangs,Aerial Ace,3,4,1,10000
Cradily (Shadow),79,346,rock,grass,106.3,139,143,2111521,26,Bullet Seed,Stone Edge,Grass Knot,5,4,3,50000
Grotle (Shadow),79,388,grass,none,118.3,116.1,138,1895093,30.5,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Leafeon,79,470,grass,none,128.1,133.3,102,1742118,18.5,Quick Attack,Leaf Blade,Last Resort,5,7,5,75000
Tangrowth,79,465,grass,none,121.8,112,135,1842421,18.5,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Farfetch'd,78.9,83,normal,flying,116.8,109.2,131,1671469,50,Fury Cutter,Leaf Blade,Aerial Ace,9,12,3,50000
Gastrodon,78.9,423,water,ground,114.4,102.5,167,1957876,24.5,Mud Slap,Body Slam,Earth Power,5,7,3,50000
Raichu (Alolan),78.9,26,electric,psychic,136.2,111.7,108,1643875,24.5,Volt Switch,Wild Charge,Grass Knot,3,4,1,10000
Graveler (Alolan),78.8,75,rock,electric,123.4,124.9,118,1819319,30.5,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Vileplume (Shadow),78.8,45,grass,poison,129.1,110.9,121,1732053,22,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Magneton (Shadow),78.7,82,electric,steel,144.7,112.8,95,1550755,22,Thunder Shock,Magnet Bomb,Discharge,5,5,3,50000
Crobat,78.6,169,poison,flying,121.8,115.7,130,1832248,21,Air Slash,Poison Fang,Shadow Ball,4,7,1,10000
Sandshrew (Alolan) (Shadow),78.6,27,ice,steel,117.6,121,127,1807853,50,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Girafarig (Shadow),78.5,203,normal,psychic,129.1,102.7,129,1711052,27,Confusion,Psychic Fangs,Psychic,3,5,3,50000
Gligar (Shadow),78.5,207,ground,flying,108,146.2,130,2052969,30.5,Wing Attack,Night Slash,Dig,5,12,5,75000
Sandshrew (Alolan),78.5,27,ice,steel,117.6,121,127,1807853,50,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Electivire (Shadow),78.4,466,electric,none,144,98,110,1552610,18,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Vaporeon,78.4,134,water,none,119,97.2,163,1886587,17.5,Water Gun,Aqua Tail,Last Resort,12,19,5,75000
Sandslash,78.3,28,ground,none,120.5,121.1,126,1837863,23.5,Mud Shot,Night Slash,Earthquake,4,8,3,50000
Sudowoodo,78.3,185,rock,none,117.3,128.4,127,1913202,27,Counter,Rock Slide,Earthquake,7,10,5,75000
Tirtouga,78.3,564,water,rock,113.9,132,130,1955087,47,Water Gun,Surf,Body Slam,14,12,5,75000
Donphan,78.2,232,ground,none,125.8,112,126,1776372,18.5,Counter,Body Slam,Earthquake,5,10,3,50000
Magnemite (Shadow),78.2,81,electric,steel,148.7,113.4,89,1501640,50,Thunder Shock,Magnet Bomb,Discharge,5,5,3,50000
Mantine,78.2,226,water,flying,106.2,163.1,122,2113576,27,Bubble,Bubble Beam,Ice Beam,4,5,5,75000
Honchkrow (Shadow),78,430,dark,flying,150.6,68.3,145,1492462,20.5,Snarl,Brave Bird,Sky Attack,5,4,3,50000
Servine,78,496,grass,none,107.2,137.4,142,2092314,49.5,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Ivysaur (Shadow),77.9,2,grass,poison,118.6,121.7,130,1876886,36.5,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Charjabug,77.8,737,bug,electric,116.1,132.4,126,1936447,38,Spark,X-Scissor,Discharge,5,6,1,10000
Golem (Alolan),77.8,76,rock,electric,125.2,121.7,117,1782513,19,Volt Switch,Wild Charge,Rock Blast,3,3,1,10000
Malamar,77.8,687,dark,psychic,118.5,117.1,136,1887141,24,Psycho Cut,Foul Play,Superpower,5,5,3,50000
Muk,77.8,89,poison,none,117.3,111.3,146,1906470,20.5,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Poliwhirl (Shadow),77.8,61,water,none,115.1,114.3,148,1947108,50,Mud Shot,Scald,Mud Bomb,6,5,3,50000
Latios,77.7,381,dragon,psychic,138.4,112.9,103,1609480,14.5,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Girafarig,77.5,203,normal,psychic,129.1,102.7,129,1711052,27,Confusion,Psychic Fangs,Psychic,3,5,3,50000
Magneton,77.5,82,electric,steel,144.7,112.8,95,1550755,22,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Bayleef,77.3,153,grass,none,105.6,141.6,141,2107468,49.5,Razor Leaf,Grass Knot,Ancient Power,13,12,3,10000
Electivire,77.2,466,electric,none,144,98,110,1552610,18,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Gyarados (Shadow),77.2,130,water,flying,130.8,108,121,1708726,16.5,Waterfall,Aqua Tail,Crunch,5,6,1,10000
Mawile (Shadow),77.2,303,steel,fairy,125.9,121.2,117,1784529,38.5,Fire Fang,Power-Up Punch,Play Rough,7,12,5,75000
Poliwhirl,77.2,61,water,none,115.1,114.3,148,1947108,50,Mud Shot,Scald,Mud Bomb,6,5,3,50000
Glalie,77.1,362,ice,none,115.2,120.1,140,1937229,27,Ice Shard,Avalanche,Shadow Ball,5,6,3,50000
Marowak (Shadow),77.1,105,ground,none,110.8,145,126,2025310,32,Mud Slap,Rock Slide,Bone Club,6,5,3,50000
Oranguru,77.1,765,normal,psychic,110.9,131.2,139,2021720,22.5,Confusion,Foul Play,Future Sight,4,6,3,75000
Magcargo,77,219,fire,rock,110.2,157.9,116,2017737,36.5,Incinerate,Rock Tomb,Overheat,3,3,1,10000
Tentacruel,77,73,water,poison,110.1,139.9,132,2032660,23.5,Poison Jab,Acid Spray,Scald,7,8,3,50000
Grotle,76.9,388,grass,none,118.3,116.1,138,1895093,30.5,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Haxorus,76.9,612,dragon,none,151.1,95.7,102,1475018,15,Counter,Dragon Claw,Night Slash,5,5,5,75000
Feraligatr (Shadow),76.8,160,water,none,123.3,118,124,1803586,19.5,Waterfall,Hydro Cannon,Crunch,5,6,3,10000
Golduck (Shadow),76.8,55,water,none,125.5,112.2,127,1787063,22.5,Water Gun,Cross Chop,Ice Beam,12,19,3,50000
Castform,76.7,351,normal,none,113.4,119.6,146,1979669,38.5,Hex,Weather Ball (Rock),Energy Ball,3,5,5,75000
Dusclops,76.7,356,ghost,none,103.1,198.9,106,2173343,43,Hex,Fire Punch,Return,4,6,3,50000
Marowak,76.7,105,ground,none,110.8,145,126,2025310,32,Mud Slap,Rock Slide,Bone Club,6,5,3,50000
Mawile,76.7,303,steel,fairy,125.9,121.2,117,1784529,38.5,Fire Fang,Power-Up Punch,Play Rough,7,12,5,75000
Venomoth (Shadow),76.7,49,bug,poison,128.2,104.4,131,1752985,27.5,Infestation,Poison Fang,Bug Buzz,3,5,3,50000
Charizard (Shadow),76.6,6,fire,flying,132.2,108.3,117,1674892,19,Fire Spin,Blast Burn,Dragon Claw,5,4,3,10000
Scizor,76.6,212,bug,steel,137.9,110.3,106,1612512,18.5,Bullet Punch,X-Scissor,Iron Head,5,8,5,75000
Wobbuffet (Shadow),76.6,202,psychic,none,63,101.7,333,2133829,50,Counter,Mirror Coat,Frustration,8,10,3,50000
Bonsly,76.5,438,rock,none,116.8,124.4,127,1844799,50,Counter,Rock Slide,Earthquake,7,10,5,10000
Electrode (Shadow),76.5,101,electric,none,123.1,127.2,116,1816610,26.5,Volt Switch,Discharge,Foul Play,3,3,3,50000
Floette,76.5,670,fairy,none,114.3,133.7,128,1955261,44,Vine Whip,Psychic,Dazzling Gleam,7,9,3,50000
Milotic,76.5,350,water,none,113.2,132.2,132,1974479,18.5,Dragon Tail,Surf,Blizzard,5,9,5,75000
Bibarel,76.4,400,normal,water,124.2,97.7,149,1807978,30.5,Water Gun,Surf,Hyper Fang,14,17,1,10000
Carracosta,76.4,565,water,rock,121.8,127.9,118,1839109,21,Water Gun,Surf,Body Slam,14,12,5,75000
Magnemite,76.4,81,electric,steel,148.7,113.4,89,1501640,50,Thunder Shock,Magnet Bomb,Discharge,5,5,3,50000
Rapidash (Galarian),76.4,78,psychic,fairy,134.7,110.9,111,1658326,22,Fairy Wind,Body Slam,Play Rough,4,7,3,50000
Sudowoodo (Shadow),76.4,185,rock,none,117.3,128.4,127,1913202,27,Counter,Rock Slide,Earthquake,7,10,5,75000
Torterra (Shadow),76.4,389,grass,ground,120.5,117.6,131,1857185,19,Razor Leaf,Frenzy Plant,Stone Edge,12,14,3,10000
Charizard,76.2,6,fire,flying,132.2,108.3,117,1674892,19,Fire Spin,Blast Burn,Dragon Claw,5,4,3,10000
Klefki,76.2,707,steel,fairy,119,134.2,118,1884790,29.5,Tackle,Foul Play,Play Rough,15,20,3,50000
Magmortar (Shadow),76.2,467,fire,none,141.4,103.4,108,1578615,17.5,Karate Chop,Fire Punch,Thunderbolt,5,7,5,75000
Vespiquen,76.2,416,bug,flying,109.1,143.3,131,2049009,28.5,Fury Cutter,X-Scissor,Power Gem,9,15,3,50000
Linoone (Galarian),76.1,264,dark,normal,114.6,112.2,152,1953755,39,Snarl,Body Slam,Gunk Shot,3,6,1,10000
Gyarados,76,130,water,flying,130.8,108,121,1708726,16.5,Waterfall,Aqua Tail,Crunch,5,6,1,10000
Hitmonlee,76,106,fighting,none,142.5,121.4,91,1573887,21.5,Double Kick,Close Combat,Stone Edge,4,5,5,75000
Lugia (Shadow),76,249,psychic,flying,102.4,165,129,2181164,15,Dragon Tail,Sky Attack,Aeroblast,5,9,20,100000
Moltres (Galarian),76,146,dark,flying,115.1,137.5,122,1930734,17.5,Wing Attack,Ancient Power,Brave Bird,7,8,20,100000
Sandslash (Shadow),76,28,ground,none,120.5,121.1,126,1837863,23.5,Mud Shot,Night Slash,Earthquake,4,8,3,50000
Bibarel (Shadow),75.9,400,normal,water,124.2,97.7,149,1807978,30.5,Water Gun,Surf,Hyper Fang,14,17,1,10000
Carnivine,75.9,455,grass,none,130.2,101.2,130,1712621,25.5,Vine Whip,Power Whip,Crunch,7,6,5,75000
Dugtrio,75.9,51,ground,none,136.4,120.5,99,1627049,41.5,Mud Shot,Mud Bomb,Stone Edge,5,7,3,50000
Durant,75.9,632,bug,steel,135.9,121.2,100,1647192,21,Bug Bite,X-Scissor,Stone Edge,12,19,3,50000
Staravia (Shadow),75.9,397,normal,flying,131.9,91.6,135,1631281,50,Quick Attack,Brave Bird,Aerial Ace,7,6,1,10000
Golduck,75.8,55,water,none,125.5,112.2,127,1787063,22.5,Water Gun,Cross Chop,Ice Beam,12,19,3,50000
Staravia,75.8,397,normal,flying,131.9,91.6,135,1631281,50,Quick Attack,Brave Bird,Aerial Ace,7,6,1,10000
Venomoth,75.8,49,bug,poison,128.2,104.4,131,1752985,27.5,Infestation,Poison Fang,Bug Buzz,3,5,3,50000
Ledian,75.7,166,bug,flying,101.9,161.2,134,2201440,49,Bug Bite,Dynamic Punch,Aerial Ace,17,15,1,10000
Luxio (Shadow),75.7,404,electric,none,134.1,91.1,137,1672950,47.5,Spark,Wild Charge,Crunch,6,6,5,75000
Seismitoad,75.7,537,water,ground,120.3,101.5,152,1856073,22,Mud Shot,Earth Power,Sludge Bomb,7,6,3,50000
Mamoswine,75.6,473,ice,ground,136.2,87.4,137,1630185,16.5,Powder Snow,Avalanche,Bulldoze,6,8,3,50000
Hitmonlee (Shadow),75.5,106,fighting,none,142.5,121.4,91,1573887,21.5,Double Kick,Close Combat,Stone Edge,4,5,5,75000
Rapidash,75.5,78,fire,none,134.7,110.9,111,1658326,22,Incinerate,Drill Run,Flame Charge,3,3,3,50000
Scolipede,75.5,545,bug,poison,132.6,121.1,105,1686037,23,Poison Jab,X-Scissor,Sludge Bomb,5,8,1,10000
Mamoswine (Shadow),75.4,473,ice,ground,136.2,87.4,137,1630185,16.5,Powder Snow,Avalanche,Bulldoze,6,8,3,50000
Victreebel,75.4,71,grass,poison,135.8,94.8,128,1648364,23,Razor Leaf,Leaf Blade,Acid Spray,9,12,3,50000
Kricketune,75.3,402,bug,none,127.7,88,155,1742826,38,Fury Cutter,X-Scissor,Bug Buzz,9,15,1,10000
Nidorina,75.3,30,poison,none,110.9,113.4,157,1975496,50,Poison Sting,Poison Fang,Return,4,8,3,50000
Pawniard,75.3,624,dark,steel,132,107.8,118,1678084,49,Fury Cutter,Night Slash,X-Scissor,9,9,5,75000
Roserade,75.3,407,grass,poison,143.1,114.9,95,1561844,18.5,Bullet Seed,Weather Ball (Fire),Leaf Storm,3,5,3,50000
Wailord,75.3,321,water,none,119.6,66.8,235,1876670,25,Water Gun,Surf,Blizzard,14,25,1,10000
Crawdaunt,75.2,342,water,dark,144.5,96.9,110,1540695,22.5,Snarl,Night Slash,Crabhammer,3,4,3,50000
Gloom,75.2,44,grass,poison,122.6,114.9,130,1830873,37.5,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Leavanny,75.2,542,bug,grass,131,109,120,1713215,22,Razor Leaf,Leaf Blade,X-Scissor,9,9,1,10000
Ursaring (Shadow),75.2,217,normal,none,140.3,89.1,128,1600223,19,Shadow Claw,Close Combat,Play Rough,6,8,3,50000
Beartic,75.1,614,ice,none,134.9,94.6,129,1646922,18,Powder Snow,Ice Punch,Surf,5,5,3,50000
Uxie,75.1,480,psychic,none,102,176.8,122,2200329,22.5,Confusion,Future Sight,Thunder,6,5,20,100000
Drifloon,75,425,ghost,flying,110.9,79.8,186,1646946,50,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Electrode,75,101,electric,none,123.1,127.2,116,1816610,26.5,Volt Switch,Discharge,Foul Play,3,3,3,50000
Mewtwo (Shadow),75,150,psychic,none,148.4,94.4,108,1512714,13,Psycho Cut,Psystrike,Thunderbolt,5,7,20,100000
Dartrix,74.9,723,grass,flying,112.3,116.8,152,1993822,34.5,Razor Leaf,Brave Bird,Seed Bomb,14,10,3,10000
Emolga,74.9,587,electric,flying,127.9,111.4,123,1752744,39,Thunder Shock,Discharge,Aerial Ace,5,5,1,10000
Feraligatr,74.9,160,water,none,123.3,118,124,1803586,19.5,Waterfall,Hydro Cannon,Crunch,5,6,3,10000
Luxio,74.9,404,electric,none,134.1,91.1,137,1672950,47.5,Spark,Wild Charge,Crunch,6,6,5,75000
Shelgon,74.9,372,dragon,none,123.3,118.4,123,1795453,27.5,Dragon Breath,Flamethrower,Twister,19,15,5,75000
Typhlosion,74.9,157,fire,none,132.2,108.3,117,1674892,19,Incinerate,Blast Burn,Solar Beam,3,4,3,10000
Decidueye,74.8,724,grass,ghost,127.8,115.3,118,1739336,20,Razor Leaf,Brave Bird,Energy Ball,14,14,3,10000
Wailord (Shadow),74.7,321,water,none,119.6,66.8,235,1876670,25,Water Gun,Surf,Blizzard,14,25,1,10000
Dewott,74.6,502,water,none,124.2,98.6,147,1800321,33.5,Fury Cutter,Aqua Tail,X-Scissor,9,9,3,10000
Lopunny,74.6,428,normal,none,112.1,146.4,121,1985734,27.5,Double Kick,Fire Punch,Focus Blast,4,7,3,50000
Omastar (Shadow),74.6,139,rock,water,126.1,128.4,109,1764728,20,Mud Shot,Rock Slide,Hydro Pump,5,9,5,75000
Ursaring,74.6,217,normal,none,140.3,89.1,128,1600223,19,Shadow Claw,Close Combat,Play Rough,6,8,3,50000
Exeggutor (Alolan) (Shadow),74.5,103,grass,dragon,134.4,94.2,131,1659647,18.5,Dragon Tail,Seed Bomb,Draco Meteor,5,8,3,50000
Golisopod,74.5,768,bug,water,125.2,133.6,107,1788916,17.5,Shadow Claw,X-Scissor,Aerial Ace,5,6,1,10000
Gurdurr,74.5,533,fighting,none,124.8,99.8,143,1781718,25.5,Poison Jab,Brick Break,Stone Edge,5,8,5,75000
Moltres,74.5,146,fire,flying,136.3,102.6,117,1635633,16,Wing Attack,Sky Attack,Overheat,7,8,20,100000
Fletchinder,74.4,662,fire,flying,123,103.2,142,1801392,47,Ember,Flame Charge,Aerial Ace,9,8,1,10000
Swellow,74.4,277,normal,flying,136.7,98.6,121,1630044,29,Wing Attack,Brave Bird,Sky Attack,8,7,1,10000
Vileplume,74.3,45,grass,poison,129.1,110.9,121,1732053,22,Razor Leaf,Sludge Bomb,Petal Blizzard,13,17,3,50000
Croconaw (Shadow),74.2,159,water,none,118.8,118.8,134,1891327,35,Water Gun,Crunch,Ice Punch,15,14,3,10000
Palpitoad,74.2,536,water,ground,116.6,101.6,162,1919059,48.5,Mud Shot,Earth Power,Sludge Wave,7,8,3,50000
Ampharos,74.1,181,electric,none,127.4,106.8,129,1754935,19.5,Volt Switch,Thunder Punch,Focus Blast,3,5,5,75000
Celebi,74.1,251,psychic,grass,120.5,119.4,129,1855163,16.5,Magical Leaf,Seed Bomb,Leaf Storm,4,6,20,100000
Conkeldurr,74.1,534,fighting,none,134.6,93.3,132,1657948,16.5,Counter,Dynamic Punch,Stone Edge,8,8,5,75000
Ludicolo,74.1,272,water,grass,117.1,123.7,132,1912593,24,Bubble,Ice Beam,Leaf Storm,5,5,3,50000
Wartortle,74.1,8,water,none,107.9,137.8,139,2067932,48,Water Gun,Ice Beam,Hydro Pump,19,25,3,10000
Electabuzz (Shadow),74,125,electric,none,130.9,112.6,115,1694299,24,Thunder Shock,Thunder Punch,Thunderbolt,5,7,5,75000
Oddish (Shadow),73.9,43,grass,poison,122.7,106.7,120,1571110,50,Razor Leaf,Seed Bomb,Sludge Bomb,10,13,3,50000
Pumpkaboo (Super),73.9,710,ghost,grass,111.8,113.4,141,1787612,50,Razor Leaf,Grass Knot,Foul Play,13,12,5,75000
Delcatty,73.8,301,normal,none,112.7,115.2,153,1986701,46.5,Charm,Wild Charge,Disarming Voice,8,8,3,50000
Ampharos (Shadow),73.7,181,electric,none,127.4,106.8,129,1754935,19.5,Volt Switch,Thunder Punch,Focus Blast,3,5,5,75000
Articuno (Galarian),73.7,144,psychic,flying,134.1,108.3,115,1671021,15.5,Psycho Cut,Ancient Power,Brave Bird,5,7,20,100000
Growlithe (Shadow),73.7,58,fire,none,126.9,90.8,135,1554545,50,Ember,Body Slam,Flamethrower,6,10,3,50000
Lileep (Shadow),73.7,345,rock,grass,100.8,138.6,151,2111110,50,Infestation,Grass Knot,Ancient Power,5,4,3,50000
Nuzleaf (Shadow),73.7,274,grass,dark,125.2,78.1,157,1536164,50,Feint Attack,Leaf Blade,Foul Play,6,8,3,50000
Litleo,73.6,667,fire,normal,121.1,106.1,143,1837354,49,Ember,Flame Charge,Crunch,9,8,3,10000
Simisage,73.6,512,grass,none,136.6,94.5,126,1627774,23.5,Vine Whip,Grass Knot,Crunch,7,6,3,50000
Omastar,73.5,139,rock,water,126.1,128.4,109,1764728,20,Mud Shot,Rock Slide,Hydro Pump,5,9,5,75000
Spiritomb,73.5,442,ghost,dark,121.2,146.4,104,1845420,27.5,Sucker Punch,Shadow Ball,Shadow Sneak,8,7,5,75000
Cherrim (Sunshine),73.4,421,grass,none,122.9,115.2,129,1826290,27,Bullet Seed,Weather Ball (Fire),Solar Beam,3,7,1,10000
Krookodile,73.3,553,ground,dark,133.9,94.8,132,1675322,18.5,Snarl,Crunch,Earthquake,4,5,5,75000
Banette,73.2,354,ghost,none,146.8,89.3,117,1533076,24.5,Shadow Claw,Shadow Ball,Thunder,7,8,3,50000
Crustle,73.2,558,bug,rock,120.9,134.1,114,1848465,22,Smack Down,Rock Slide,X-Scissor,6,5,1,10000
Rufflet,73.2,627,normal,flying,126.3,91.1,153,1759870,46,Wing Attack,Brave Bird,Aerial Ace,8,7,5,75000
Lumineon,73.1,457,water,none,109.5,137.2,136,2042625,33,Water Gun,Silver Wind,Blizzard,15,25,3,50000
Luxray,73.1,405,electric,none,138,99,118,1611912,19,Snarl,Wild Charge,Psychic Fangs,4,3,5,75000
Nidoking (Shadow),73,34,poison,ground,130.1,104.1,127,1719018,21.5,Double Kick,Sand Tomb,Earth Power,4,5,3,50000
Swadloon,73,541,bug,grass,106.7,147.9,133,2099118,50,Bug Bite,Energy Ball,Silver Wind,19,15,1,10000
Darumaka,72.9,554,fire,none,132,83.5,154,1697707,49,Fire Fang,Fire Punch,Flame Charge,8,10,3,50000
Hippowdon,72.9,450,ground,none,116.2,116.8,141,1912627,18,Fire Fang,Weather Ball (Rock),Earth Power,7,11,3,50000
Pumpkaboo (Large),72.9,710,ghost,grass,113.4,115.1,133,1736900,50,Razor Leaf,Grass Knot,Foul Play,13,12,5,75000
Croconaw,72.8,159,water,none,118.8,118.8,134,1891327,35,Water Gun,Crunch,Ice Punch,15,14,3,10000
Houndoom (Shadow),72.8,229,dark,fire,140.8,94.9,119,1589764,21,Snarl,Crunch,Flamethrower,4,5,3,50000
Huntail,72.8,367,water,none,131.5,126.3,102,1694679,24,Water Gun,Aqua Tail,Crunch,12,15,3,50000
Mightyena (Shadow),72.8,262,dark,none,125.9,104.3,134,1759749,29,Ice Fang,Crunch,Poison Fang,9,7,1,10000
Swalot,72.8,317,poison,none,104.1,123.4,168,2158208,28.5,Infestation,Ice Beam,Sludge Bomb,5,5,1,10000
Minun,72.7,312,electric,none,116.8,126.8,129,1909761,37,Spark,Thunderbolt,Grass Knot,7,7,3,50000
Nidoking,72.7,34,poison,ground,130.1,104.1,127,1719018,21.5,Double Kick,Sand Tomb,Earth Power,4,5,3,50000
Prinplup,72.7,394,water,none,119.1,116,136,1878103,37,Bubble,Icy Wind,Hydro Pump,5,7,3,10000
Scraggy,72.7,559,dark,fighting,120.4,122.1,126,1851509,48,Feint Attack,Foul Play,Brick Break,8,6,3,50000
Typhlosion (Shadow),72.7,157,fire,none,132.2,108.3,117,1674892,19,Incinerate,Blast Burn,Solar Beam,3,4,3,10000
Charmeleon (Shadow),72.6,5,fire,none,127.1,109.1,127,1760642,39,Ember,Fire Punch,Flamethrower,7,10,3,10000
Cloyster,72.6,91,water,ice,119.7,166,94,1867851,22,Ice Shard,Icy Wind,Hydro Pump,5,8,3,50000
Porygon2,72.6,233,normal,none,123.7,115.7,127,1816950,21,Lock On,Tri Attack,Zap Cannon,10,16,3,50000
Bouffalant,72.5,626,normal,none,118.9,115.9,136,1873804,20,Mud Shot,Stomp,Megahorn,5,7,3,50000
